Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
2176.0,-5.060852,-38.840515,-56.390900
2184.0,-4.725494,-38.220612,-55.974243
2192.0,-4.562897,-38.881165,-56.675446
2200.0,-5.467346,-39.501068,-56.411224
2208.0,-4.725494,-37.925903,-56.319763
2216.0,-4.258026,-39.846588,-56.614471
2224.0,-5.142151,-39.409607,-56.431549
2232.0,-4.166565,-38.799866,-55.516937
2240.0,-4.440948,-39.247009,-56.370575
2248.0,-5.863678,-36.899506,-55.730347
2256.0,-6.290497,-38.118988,-56.055542
2264.0,-6.331146,-36.797882,-57.173401
2272.0,-7.103485,-36.879181,-56.980316
2280.0,-7.489655,-37.702332,-55.516937
2288.0,-6.605530,-38.606781,-55.171417
2296.0,-6.341309,-36.838531,-55.638885
2304.0,-5.203125,-36.442200,-55.953918
2312.0,-6.829102,-37.082428,-56.197815
2320.0,-9.115631,-37.925903,-56.136841
2328.0,-7.428680,-38.362885,-56.512848
2336.0,-8.272156,-37.062103,-57.772980
2344.0,-9.755859,-39.541718,-57.935577
2352.0,-9.450989,-37.499084,-58.281097
2360.0,-9.135956,-37.580383,-56.512848
2368.0,-9.613586,-37.438110,-57.193726
2376.0,-10.772095,-38.464508,-57.661194
2384.0,-9.593262,-35.456451,-57.559570
2392.0,-11.198914,-35.415802,-59.642853
2400.0,-12.032227,-35.273529,-56.634796
2408.0,-11.097290,-34.135345,-56.959991
2416.0,-10.670471,-33.352844,-57.173401
2424.0,-9.969269,-31.787842,-58.301422
2432.0,-8.414429,-29.928131,-58.199799
2440.0,-11.076965,-30.385437,-59.703827
2448.0,-7.946960,-30.446411,-59.937561
2456.0,-10.335114,-30.649658,-61.228180
2464.0,-7.286407,-30.304138,-59.358307
2472.0,-6.646179,-29.064331,-59.520905
2480.0,-6.686829,-29.887482,-60.140808
2488.0,-4.319000,-28.942383,-59.663177
2496.0,-4.827118,-29.704559,-61.207855
2504.0,-4.562897,-29.724884,-60.262756
2512.0,-2.896271,-29.663910,-59.398956
2520.0,-2.723511,-26.899750,-60.902985
2528.0,-1.920685,-28.586700,-60.963959
2536.0,-0.955261,-29.602936,-61.167206
2544.0,-2.418640,-27.184296,-61.461914
2552.0,-0.497955,-27.062347,-60.222107
2560.0,-1.138184,-26.544067,-60.466003
2568.0,-1.361755,-28.170044,-60.659088
2576.0,0.995941,-26.625366,-60.425354
2584.0,0.132115,-28.871246,-59.998535
2592.0,-1.514191,-29.826508,-59.155060
2600.0,-1.199158,-28.962708,-56.919342
2608.0,-1.575165,-30.669983,-57.935577
2616.0,-1.321106,-32.275635,-58.636780
2624.0,-0.030487,-33.830475,-56.939667
2632.0,-0.172760,-32.956512,-57.396973
2640.0,-1.097534,-33.474792,-53.829987
2648.0,-0.111786,-34.612976,-55.476288
2656.0,0.477645,-33.911774,-56.959991
2664.0,-1.676788,-34.755249,-55.791321
2672.0,-1.036560,-35.883270,-55.029144
2680.0,-2.835297,-36.940155,-55.293365
2688.0,-3.079193,-36.696259,-56.055542
2696.0,-3.465363,-37.285675,-56.573822
2704.0,-2.916595,-37.082428,-54.307617
2712.0,-3.699097,-37.001129,-52.407257
2720.0,-5.365723,-37.021454,-52.427582
2728.0,-4.420624,-37.082428,-53.545441
2736.0,-7.733551,-37.560059,-54.947845
2744.0,-6.707153,-37.458435,-54.571838
2752.0,-5.640106,-37.397461,-53.809662
2760.0,-7.804688,-37.783630,-53.728363
2768.0,-6.707153,-37.763306,-52.966187
2776.0,-5.467346,-37.621033,-52.986511
2784.0,-7.804688,-38.860840,-53.271057
2792.0,-5.426697,-39.226685,-53.586090
2800.0,-4.847443,-38.982788,-54.053558
2808.0,-6.026276,-39.724640,-52.966187
2816.0,-3.760071,-39.186035,-52.468231
2824.0,-3.861694,-39.866913,-52.092224
2832.0,-3.760071,-39.948212,-52.092224
